Experiment,Measurement,Replication,Module,Name,Value
BF-ND,300,0,NdnBinaryTree.radioMedium.propagation,Arrival computation count,562520
BF-ND,300,0,NdnBinaryTree.radioMedium,transmission count,40180
BF-ND,300,0,NdnBinaryTree.radioMedium,radio frame send count,562520
BF-ND,300,0,NdnBinaryTree.radioMedium,reception computation count,562520
BF-ND,300,0,NdnBinaryTree.radioMedium,interference computation count,1619107
BF-ND,300,0,NdnBinaryTree.radioMedium,reception decision computation count,136135
BF-ND,300,0,NdnBinaryTree.radioMedium,listening decision computation count,934831
BF-ND,300,0,NdnBinaryTree.radioMedium,reception cache hit,81.2809124341
BF-ND,300,0,NdnBinaryTree.radioMedium,interference cache hit,66.6666666667
BF-ND,300,0,NdnBinaryTree.radioMedium,noise cache hit,0
BF-ND,300,0,NdnBinaryTree.radioMedium,snir cache hit,50
BF-ND,300,0,NdnBinaryTree.radioMedium,reception decision cache hit,50
BF-ND,300,0,NdnBinaryTree.radioMedium,reception result cache hit,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.forwarding,numIntRcvd,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.forwarding,numIntFwd,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.forwarding,numIntCanceled,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.forwarding,numIntDuplicated,4
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.forwarding,numDataReceived,3301
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.forwarding,numDataFwd,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.forwarding,numDataCanceled,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.forwarding,numDataUnsolicited,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,added,4594
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,removed,4594
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,matched,3305
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,missed,352
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,timeout,1293
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,size:count,3657
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,size:mean,1.0440251572
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,size:stddev,0.2051790791
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,size:sum,3818
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,size:sqrsum,4140
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,size:min,1
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.pit,size:max,2
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.fib,added,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.fib,removed,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.fib,matched,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.fib,missed,4594
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.fib,expired,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.cs,added,3301
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.cs,removed,0
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.cs,hit,31402
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.cs,miss,4598
BF-ND,300,0,NdnBinaryTree.ndnGW.ndnL3.cs,stale,0
BF-ND,300,0,NdnBinaryTree.ndnGW.wlan[0].mac,nbTxFrames,4594
