Experiment,Measurement,Replication,Module,Name,Value
ND-CSMA,300,2,NdnBinaryTree.radioMedium.propagation,Arrival computation count,1970836
ND-CSMA,300,2,NdnBinaryTree.radioMedium,transmission count,140774
ND-CSMA,300,2,NdnBinaryTree.radioMedium,radio frame send count,1970836
ND-CSMA,300,2,NdnBinaryTree.radioMedium,reception computation count,1970836
ND-CSMA,300,2,NdnBinaryTree.radioMedium,interference computation count,5763088
ND-CSMA,300,2,NdnBinaryTree.radioMedium,reception decision computation count,449938
ND-CSMA,300,2,NdnBinaryTree.radioMedium,listening decision computation count,3381180
ND-CSMA,300,2,NdnBinaryTree.radioMedium,reception cache hit,80.5898803701
ND-CSMA,300,2,NdnBinaryTree.radioMedium,interference cache hit,66.6666666667
ND-CSMA,300,2,NdnBinaryTree.radioMedium,noise cache hit,0
ND-CSMA,300,2,NdnBinaryTree.radioMedium,snir cache hit,50
ND-CSMA,300,2,NdnBinaryTree.radioMedium,reception decision cache hit,50
ND-CSMA,300,2,NdnBinaryTree.radioMedium,reception result cache hit,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.forwarding,numIntRcvd,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.forwarding,numIntFwd,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.forwarding,numIntCanceled,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.forwarding,numIntDuplicated,95
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.forwarding,numDataReceived,28223
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.forwarding,numDataFwd,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.forwarding,numDataCanceled,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.forwarding,numDataUnsolicited,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,added,35905
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,removed,35904
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,matched,28318
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,missed,13602
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,timeout,7681
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,size:count,41920
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,size:mean,1.2835877863
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,size:stddev,0.4962395482
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,size:sum,53808
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,size:sqrsum,79390
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,size:min,1
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.pit,size:max,3
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.fib,added,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.fib,removed,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.fib,matched,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.fib,missed,35905
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.fib,expired,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.cs,added,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.cs,removed,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.cs,hit,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.cs,miss,36000
ND-CSMA,300,2,NdnBinaryTree.ndnGW.ndnL3.cs,stale,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,nbTxFrames,35904
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,nbRxFrames,49737
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,nbDroppedFrames,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,nbMissedAcks,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,nbRecvdAcks,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,nbTxAcks,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,nbDuplicates,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,meanBackoff,0.0011155483
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,nbBackoffs,35905
ND-CSMA,300,2,NdnBinaryTree.ndnGW.wlan[0].mac,backoffDurations,40.05376
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],IntSent,36000
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],DataRcvd,28223
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],allRtt:count,28223
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],allRtt:mean,8.9017113702
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],allRtt:stddev,4.6220231332
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],allRtt:sum,251233
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],allRtt:sqrsum,2839313
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],allRtt:min,4
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],allRtt:max,26
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],lastRtt:count,28223
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],lastRtt:mean,8.9017113702
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],lastRtt:stddev,4.6220231332
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],lastRtt:sum,251233
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],lastRtt:sqrsum,2839313
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],lastRtt:min,4
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],lastRtt:max,26
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],reTx:count,28223
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],reTx:mean,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],reTx:stddev,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],reTx:sum,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],reTx:sqrsum,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],reTx:min,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],reTx:max,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],hopCount:count,28223
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],hopCount:mean,3
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],hopCount:stddev,0
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],hopCount:sum,84669
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],hopCount:sqrsum,254007
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],hopCount:min,3
ND-CSMA,300,2,NdnBinaryTree.ndnGW.consumer[0],hopCount:max,3
ND-CSMA,300,2,NdnBinaryTree.n11.ndnL3.forwarding,numIntRcvd,35904
ND-CSMA,300,2,NdnBinaryTree.n11.ndnL3.forwarding,numIntFwd,21488
ND-CSMA,300,2,NdnBinaryTree.n11.ndnL3.forwarding,numIntCanceled,0
ND-CSMA,300,2,NdnBinaryTree.n11.ndnL3.forwarding,numIntDuplicated,321
ND-CSMA,300,2,NdnBinaryTree.n11.ndnL3.forwarding,numDataReceived,2075
ND-CSMA,300,2,NdnBinaryTree.n11.ndnL3.forwarding,numDataFwd,2075
