time,seq,class,rtt,hops
1,0,1,27.0086,3
2,1,1,20.1606,3
3,0,1,2000,3
4,3,1,23.4886,3
6,5,1,19.5206,3
7,4,1,-1,-1
7,6,1,25.8566,3
8,7,1,31.2966,3
9,8,3,18.8806,3
10,9,1,24.2567,3
11,10,1,18.8807,3
12,11,2,20.8007,3
13,12,1,23.8086,3
14,13,6,25.0887,3
15,14,1,22.0807,3
17,6,1,10000,3
18,15,1,-1,-1
18,17,1,27.6487,3
20,19,1,32.2567,3
21,18,4,-1,-1
22,21,4,30.6566,3
23,20,4,-1,-1
23,22,1,21.1206,3
26,23,1,-1,-1
26,25,1,32.2566,3
27,24,1,-1,-1
27,10,1,16000,3
28,27,1,28.2886,3
29,1,1,27000,3
30,27,1,2000,3
32,10,1,21000,3
33,30,2,-1,-1
33,32,1,31.2966,3
34,33,1,21.2486,3
37,34,1,-1,-1
37,19,1,17000,3
38,35,1,-1,-1
38,37,1,27.0086,3
39,7,1,31000,3
40,39,1,35.7766,3
42,41,1,19.8406,3
43,40,1,-1,-1
43,42,1,17.6006,3
45,44,3,36.7366,3
46,43,1,-1,-1
46,45,1,33.4087,3
48,47,2,33.8566,3
49,46,1,-1,-1
50,12,1,37000,3
51,48,1,-1,-1
51,50,6,20.9286,3
52,51,1,19.3286,3
53,52,1,20.8006,3
54,53,1,19.6487,3
55,54,1,22.5287,3
57,56,1,33.2167,3
58,55,1,-1,-1
58,57,1,19.2007,3
59,58,1,21.2487,3
60,59,6,21.1207,3
61,60,1,20.4806,3
62,57,1,4000,3
63,62,1,29.8886,3
64,0,1,63000,3
66,44,3,21000,3
67,64,1,-1,-1
68,54,1,13000,3
69,66,1,-1,-1
69,68,2,22.0806,3
70,69,1,23.1687,3
71,58,1,12000,3
72,54,1,17000,3
73,58,1,14000,3
74,69,1,4000,3
75,74,7,22.0806,3
76,51,1,24000,3
77,76,1,19.2006,3
78,0,1,77000,3
79,60,1,18000,3
81,76,1,4000,3
82,79,1,-1,-1
82,81,1,23.6166,3
83,12,1,70000,3
84,83,1,20.9287,3
85,84,1,34.8167,3
86,85,1,19.5206,3
89,86,1,-1,-1
90,87,1,-1,-1
90,83,1,6000,3
91,88,1,-1,-1
92,91,1,22.8486,3
93,90,1,-1,-1
93,92,1,29.5687,3
94,93,1,20.4806,3
95,94,1,19.2006,3
96,22,1,73000,3
97,6,1,90000,3
98,97,1,24.7686,3
99,25,1,73000,3
101,100,1,12.8004,3
102,99,2,-1,-1
102,101,1,16.9607,3
103,102,1,29.5686,3
104,103,2,24.4487,3
105,27,1,77000,3
106,25,1,80000,3
107,6,1,0,3
108,7,1,0,3
109,33,1,75000,3
110,27,1,82000,3
111,60,1,50000,3
112,58,1,53000,3
113,112,1,29.8887,3
114,12,1,0,3
115,6,1,0,3
116,57,1,58000,3
117,54,1,62000,3
118,9,1,0,3
119,118,2,24.7686,3
120,33,1,86000,3
121,51,1,69000,3
122,121,1,20.2887,3
123,100,1,22000,3
124,22,1,0,3
125,124,1,20.1606,3
126,57,1,68000,3
127,25,1,0,3
129,128,1,30.8486,3
130,127,3,-1,-1
130,27,1,0,3
131,100,1,30000,3
132,131,2,21.4406,3
133,132,2,28.8647,3
134,10,1,0,3
135,10,1,0,3
136,14,1,0,3
137,45,1,91000,3
138,12,1,0,3
139,25,1,0,3
140,25,1,0,3
141,101,1,39000,3
142,101,1,40000,3
143,124,1,18000,3
144,41,1,0,3
146,52,1,93000,3
147,144,7,-1,-1
147,83,1,63000,3
148,51,1,96000,3
149,148,4,16.3207,3
150,1,1,0,3
151,19,1,0,3
152,52,1,99000,3
153,52,1,0,3
154,153,1,37.1846,3
155,154,1,32.8966,3
156,60,1,95000,3
157,56,1,0,3
158,157,2,25.0887,3
159,154,1,4000,3
160,56,1,0,3
161,22,1,0,3
162,14,1,0,3
163,162,1,19.9686,3
164,163,1,17.9206,3
165,33,1,0,3
166,163,1,2000,3
167,166,1,21.5686,3
168,76,1,91000,3
169,168,1,14.0804,3
170,100,1,69000,3
171,5,1,0,3
172,58,1,0,3
173,54,1,0,3
174,166,1,7000,3
176,76,1,99000,3
177,174,2,-1,-1
177,176,1,24.8966,3
178,19,1,0,3
179,176,1,2000,3
180,52,1,0,3
181,180,1,27.6486,3
182,10,1,0,3
183,182,2,23.4887,3
184,53,1,0,3
185,83,1,0,3
186,42,1,0,3
187,60,1,0,3
188,187,1,34.4966,3
189,6,1,0,3
190,124,1,65000,3
191,60,1,0,3
192,191,2,20.2886,3
193,14,1,0,3
194,27,1,0,3
195,42,1,0,3
196,14,1,0,3
197,94,1,0,3
198,94,1,0,3
199,19,1,0,3
200,10,1,0,3
201,37,1,0,3
202,168,1,33000,3
203,91,1,0,3
204,42,1,0,3
205,92,1,0,3
206,76,1,0,3
207,6,1,0,3
208,5,1,0,3
209,57,1,0,3
210,121,1,88000,3
211,3,1,0,3
212,128,1,83000,3
213,1,1,0,3
214,54,1,0,3
215,14,1,0,3
216,17,1,0,3
217,10,1,0,3
218,121,1,96000,3
219,91,1,0,3
220,3,1,0,3
221,97,1,0,3
222,32,1,0,3
223,91,1,0,3
224,85,1,0,3
225,101,1,0,3
226,17,1,0,3
227,81,1,0,3
228,12,1,0,3
229,5,1,0,3
230,62,1,0,3
231,6,1,0,3
232,128,1,0,3
233,7,1,0,3
234,83,1,0,3
235,234,2,29.6966,3
236,94,1,0,3
237,112,1,0,3
238,68,2,0,3
239,162,1,76000,3
240,56,1,0,3
241,240,14,32.2567,3
242,58,1,0,3
