time,seq,class,content,type
1,0,1,11,5
1,0,1,11,5
1,0,1,11,5
1,0,1,11,5
1,0,1,11,5
1,0,1,11,6
1,0,1,11,6
1,0,1,11,5
1,0,1,11,5
2,1,2,4,5
2,1,2,4,5
2,1,2,4,5
2,1,2,4,5
2,1,2,4,5
2,1,2,4,5
2,1,2,4,5
2,1,2,4,6
2,1,2,4,6
2,1,2,4,6
3,2,1,44,5
3,2,1,44,5
3,2,1,44,5
3,2,1,44,5
3,2,1,44,5
3,2,1,44,6
3,2,1,44,6
3,2,1,44,5
3,2,1,44,5
3,2,1,44,6
4,3,1,9,5
4,3,1,9,5
4,3,1,9,5
4,3,1,9,5
4,3,1,9,5
4,3,1,9,6
4,3,1,9,6
4,3,1,9,5
4,3,1,9,5
4,3,1,9,6
5,4,1,37,5
5,4,1,37,5
5,4,1,37,5
5,4,1,37,5
5,4,1,37,5
5,4,1,37,5
5,4,1,37,5
5,4,1,37,6
5,4,1,37,6
5,4,1,37,6
6,5,1,40,5
6,5,1,40,5
6,5,1,40,5
6,5,1,40,5
6,5,1,40,5
6,5,1,40,6
6,5,1,40,6
6,5,1,40,5
6,5,1,40,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,5
7,6,1,22,6
7,6,1,22,5
7,6,1,22,5
7,6,1,22,6
7,6,1,22,6
8,7,1,28,5
8,7,1,28,5
8,7,1,28,5
8,7,1,28,5
8,7,1,28,5
8,7,1,28,5
8,7,1,28,5
8,7,1,28,6
8,7,1,28,6
8,7,1,28,6
9,8,3,17,5
9,8,3,17,5
9,8,3,17,5
9,8,3,17,5
9,8,3,17,5
9,8,3,17,6
9,8,3,17,5
9,8,3,17,5
10,9,1,14,5
10,9,1,14,5
10,9,1,14,5
10,9,1,14,5
10,9,1,14,5
10,9,1,14,5
10,9,1,14,5
10,9,1,14,6
10,9,1,14,6
10,9,1,14,6
11,10,1,7,5
11,10,1,7,5
11,10,1,7,5
11,10,1,7,5
11,10,1,7,5
11,10,1,7,5
11,10,1,7,5
11,10,1,7,6
11,10,1,7,6
11,10,1,7,6
12,11,1,35,5
12,11,1,35,5
12,11,1,35,5
12,11,1,35,5
12,11,1,35,5
12,11,1,35,6
12,11,1,35,5
12,11,1,35,5
12,11,1,35,6
12,11,1,35,6
13,12,1,45,5
13,12,1,45,5
13,12,1,45,5
13,12,1,45,5
13,12,1,45,5
13,12,1,45,6
13,12,1,45,6
13,12,1,45,5
13,12,1,45,5
14,13,1,27,5
14,13,1,27,5
14,13,1,27,5
14,13,1,27,5
14,13,1,27,5
14,13,1,27,5
14,13,1,27,5
14,13,1,27,6
14,13,1,27,6
14,13,1,27,6
17,16,1,57,5
17,16,1,57,5
17,16,1,57,5
17,16,1,57,5
17,16,1,57,5
17,16,1,57,5
17,16,1,57,5
17,16,1,57,6
17,16,1,57,6
17,16,1,57,6
19,18,1,34,5
19,18,1,34,5
19,18,1,34,5
19,18,1,34,5
19,18,1,34,5
19,18,1,34,5
19,18,1,34,5
19,18,1,34,6
19,18,1,34,6
19,18,1,34,6
20,19,1,45,5
20,19,1,45,5
20,19,1,45,5
20,19,1,45,5
20,19,1,45,5
20,19,1,45,6
20,19,1,45,5
20,19,1,45,6
21,20,1,3,5
21,20,1,3,5
21,20,1,3,5
21,20,1,3,5
21,20,1,3,5
21,20,1,3,5
21,20,1,3,5
21,20,1,3,6
21,20,1,3,6
21,20,1,3,6
22,21,1,10,5
22,21,1,10,5
22,21,1,10,5
22,21,1,10,5
22,21,1,10,5
22,21,1,10,5
22,21,1,10,5
22,21,1,10,6
22,21,1,10,6
22,21,1,10,6
23,22,1,4,5
23,22,1,4,5
23,22,1,4,5
23,22,1,4,5
23,22,1,4,5
23,22,1,4,5
23,22,1,4,5
23,22,1,4,6
23,22,1,4,6
23,22,1,4,6
24,23,1,42,5
24,23,1,42,5
24,23,1,42,5
24,23,1,42,5
24,23,1,42,5
24,23,1,42,5
24,23,1,42,5
24,23,1,42,6
24,23,1,42,6
24,23,1,42,6
25,24,1,56,5
25,24,1,56,5
25,24,1,56,5
25,24,1,56,5
25,24,1,56,5
25,24,1,56,5
25,24,1,56,5
25,24,1,56,6
25,24,1,56,6
25,24,1,56,6
26,25,2,3,5
26,25,2,3,5
26,25,2,3,5
26,25,2,3,5
26,25,2,3,5
26,25,2,3,5
26,25,2,3,5
26,25,2,3,6
26,25,2,3,6
26,25,2,3,6
28,27,1,8,5
28,27,1,8,5
28,27,1,8,5
28,27,1,8,5
28,27,1,8,5
28,27,1,8,6
28,27,1,8,5
28,27,1,8,5
29,28,1,47,5
29,28,1,47,5
29,28,1,47,5
29,28,1,47,5
29,28,1,47,5
29,28,1,47,6
29,28,1,47,6
29,28,1,47,5
29,28,1,47,5
31,30,1,15,5
31,30,1,15,5
31,30,1,15,5
31,30,1,15,5
31,30,1,15,5
31,30,1,15,6
31,30,1,15,6
31,30,1,15,5
31,30,1,15,5
33,32,1,16,5
33,32,1,16,5
33,32,1,16,5
33,32,1,16,5
33,32,1,16,5
33,32,1,16,5
33,32,1,16,5
33,32,1,16,6
33,32,1,16,6
34,33,1,48,5
34,33,1,48,5
34,33,1,48,5
34,33,1,48,5
34,33,1,48,5
34,33,1,48,5
34,33,1,48,5
34,33,1,48,6
34,33,1,48,6
34,33,1,48,6
35,34,12,15,5
35,34,12,15,5
35,34,12,15,5
35,34,12,15,5
